road,events_count,example_message
A01,21,Queue  between Junction A1/Fine Complanare Piacenza and Piacenza Nord  due to roadworks
A14,7,Queue  between Roseto Degli Abruzzi and Pescara Nord  due to roadworks
A12,4,Queue  between Genova Nervi and Chiavari  due to roadworks
A22,3,Queue  between Carpi and Junction A22/A1 Milano-Napoli  due to intense traffic
A11,3,"Peretola Nord rest areahas camper service closed , due to No Water Supply"
A04,2,alternate queue  between Junction for Pero and Milano Est  due to intense traffic
A23,2,"Campiolo Ovest rest areahas camper service closed until 10:00 of 30/06/2026,"
TR1,1,Queue  Piazzale Francese  towards Courmayeur Attended previewed 15 minuti.
A10,1,Queue  between Genova Aeroporto and Junction A10/A7 Milano-Genova  due to intense traffic
A26,1,"Exit slip road closed  At Casale Monferrato Nord exit until 17:00 of 22/05/2026 ,due to Bicycle race."
A27,1,Strong winds  between Vittorio Veneto Sud and Fadalto
A08,1,"road entry closed  at Gallarate entrance until 05:00 of 24/06/2026 towards Milano ,due to roadworks."
A13,1,"Castello Bentivoglio Ovest rest areahas camper service closed , due to a breakdown in the equipment"
A07,1,Convoy service between Busalla and Genova Bolzaneto
