event_type,events_count
Queue  between Roseto Degli Abruzzi and Pescara Nord  due to roadworks,1
"Peretola Nord rest areahas camper service closed , due to No Water Supply",1
"Arno Est rest areahas camper service closed , due to a breakdown in the equipment",1
"Montepulciano Est rest areahas camper service closed , due to a breakdown in the equipment",1
"San Trifone Ovest rest areahas camper service closed ,",1
"Tirreno Ovest rest areahas camper service closed , due to a breakdown in the equipment",1
"Prenestina Est rest areahas camper service closed , due to a breakdown in the equipment",1
"Somaglia Ovest rest areais out of methane , due to a breakdown in the equipment",1
"Fabro Ovest rest areahas camper service closed , due to a breakdown in the equipment",1
"Serravalle Nord rest areahas camper service closed , due to a breakdown in the equipment",1
"Plose rest areahas the filling station closed ,",1
"San Nicola Est rest areahas camper service closed , due to a breakdown in the equipment",1
"Feronia Est rest areahas camper service closed , due to a breakdown in the equipment",1
"Castello Bentivoglio Ovest rest areahas camper service closed , due to a breakdown in the equipment",1
"Arrone Est rest areahas camper service closed , due to No Power Supply",1
"Frascati Est rest areahas camper service closed , due to a breakdown in the equipment",1
"Teano Est rest areahas camper service closed , due to roadworks",1
"Cantagallo Est rest areahas camper service closed ,",1
"Ledra Ovest rest areahas camper service closed until 14:00 of 31/12/2026, due to roadworks",1
"Firenze Nord rest areahas camper service closed , due to No Water Supply",1
"La Macchia Est rest areahas camper service closed , due to a breakdown in the equipment",1
Smoke  between Pontecorvo and Cassino  due to a fire,1
Convoy service between Busalla and Genova Bolzaneto,1
"Badia Nuova Ovest rest areahas camper service closed , due to a breakdown in the equipment",1
"Casilina Ovest rest areahas camper service closed , due to a breakdown in the equipment",1
Queue  between Pescara Nord and Junction A14/A25 Roma-Pescara  due to roadworks,1
"Campiolo Ovest rest areahas camper service closed until 10:00 of 30/06/2026,",1
Queue  between Genova Nervi and Chiavari  due to roadworks,1
alternate queue  between Junction for Pero and Milano Est  due to intense traffic,1
Queue  between Junction A1/Fine Complanare Piacenza and Piacenza Nord  due to roadworks,1
Queue  Piazzale Francese  towards Courmayeur Attended previewed 15 minuti.,1
Queue  between Pescara Nord and Pineto  due to roadworks,1
Queue  between Genova Aeroporto and Junction A10/A7 Milano-Genova  due to intense traffic,1
Queue  between Pedaso and Grottammare  due to roadworks,1
alternate queue  between Piacenza Nord and Junction Bivio A1/A15 due to intense traffic,1
alternate queue  between Bivio Complanare Firenze nord-A11 and Bivio A1/Variante di Valico due to intense traffic,1
Queue  between Grottammare and Pedaso  due to roadworks,1
Queue  between Carpi and Junction A22/A1 Milano-Napoli  due to intense traffic,1
Slow traffic  At Junction A1/A14 Bologna-Taranto  coming from Milano towards Bologna  due to intense traffic.,1
Slow traffic  between Valsamoggia and Junction A1/A14 Bologna-Taranto  due to roadworks,1
Strong winds  between Fermo and Poggio Imperiale,1
"Exit slip road closed  At Casale Monferrato Nord exit until 17:00 of 22/05/2026 ,due to Bicycle race.",1
Strong winds  between Civitavecchia Nord and CC SAT/ANAS SS1 KM 102.700,1
Strong winds  between Vittorio Veneto Sud and Fadalto,1
"road entry closed  at Gallarate entrance until 05:00 of 24/06/2026 towards Milano ,due to roadworks.",1
"Campogalliano rest areahas the filling station closed ,",1
"Brianza Nord rest areahas camper service closed , due to a breakdown in the equipment",1
"S. Zenone Ovest rest areahas camper service closed ,",1
Fire  between Pontecorvo and Cassino,1
