c_ele,c_mit,c_soc,c_trn,n_ver,c_sit,c_tip_loc,f_eve_pre,n_wei,lunghezzaCoda,c_dir,d_agg,n_prg_str,n_prg_ram,c_str,c_ram,t_des_str,t_des_aut,t_des_ram,t_des_dir_it,c_fra,c_fra_cau,t_des_dir_en,c_pnt_dtx_pls_pri,c_unv_pnt_pri,locpri,c_pnt_dtx_pls_sec,c_unv_pnt_sec,locsec,n_km_ini,n_km_fin,kmrel,n_per,d_time_sta,n_vel_med,c_reg,c_reg2,c_grp_tip,t_des_fra_it,t_des_fra_en,t_des_fra_cau_it,t_des_fra_cau_en,t_des_it,t_des_en,t_des_cpt,n_ico_eve,n_ico_cau,n_crd_lat,n_crd_lon,approfondimento,fapp,fcom,n_crd_lat_ini,n_crd_lon_ini,n_crd_lat_fin,n_crd_lon_fin,eventIntersections,filterIntersections,t_url_mit,fino_al,category
20260522_T07_SIV_E_00246_00001,IT407,6,7,7,20260504_T07_E_00152,T,E,6,1,P,1779445448000,10,10,A14,A14,A14 BOLOGNA-TARANTO,BOLOGNA-TARANTO,A14 Bologna-Taranto,Taranto,LS2,RWK,Taranto,3894,650,Pescara Nord-Città Sant'Angelo,3888,644,Roseto degli Abruzzi,355.0,350.0,5.0,14.1,-0.7,88.0,13,13,V,Coda,Queue,Lavori,Roadworks,Coda di 1 km tra Roseto Degli Abruzzi e Pescara Nord per lavori,Queue  between Roseto Degli Abruzzi and Pescara Nord  due to roadworks,Taranto,41,20,42.5216,14.13395,{},False,False,42.64735,13.97327,42.5216,14.13395,"[{'lat': 42.60707, 'lon': 14.04546, 'type': 'D', 'radius': 8}, {'lat': 42.52132, 'lon': 14.13389, 'type': 'D', 'radius': 10}]",[],,,roadworks
20260522_T07_SIV_E_00403_00001,IT407,6,7,1,20260522_T07_E_00054,T,E,6,1,P,1779444902000,10,10,A14,A14,A14 BOLOGNA-TARANTO,BOLOGNA-TARANTO,A14 Bologna-Taranto,Taranto,LS2,RWK,Taranto,3918,647,Allacciamento A14/A25,3894,650,Pescara Nord-Città Sant'Angelo,373.6,371.6,2.0,15.0,4.5,55.0,13,13,V,Coda,Queue,Lavori,Roadworks,Coda di 1 km tra Pescara Nord e Bivio A14/A25 Torano-Pescara per lavori,Queue  between Pescara Nord and Junction A14/A25 Roma-Pescara  due to roadworks,Taranto,41,20,42.41132,14.1479,{},False,False,42.5216,14.13395,42.41132,14.1479,"[{'lat': 42.41337, 'lon': 14.14707, 'type': 'D', 'radius': 7}]",[],,,roadworks
20260522_T01_SIV_E_00306_00001,IT401,6,1,6,20260522_T01_E_00081,T,E,6,6,P,1779444490000,40,40,A12,A12,A12 GENOVA-ROMA,GENOVA-ROMA,A12 Genova-Rosignano Marittimo,Rosignano,LS2,RWK,Rosignano,3819,485,Chiavari,3823,481,Genova Nervi,29.5,20.0,9.5,56.9,36.8,28.0,7,7,V,Coda,Queue,Lavori,Roadworks,Coda di 6 km tra Genova Nervi e Chiavari per lavori,Queue  between Genova Nervi and Chiavari  due to roadworks,Rosignano,41,20,44.32887,9.31657,{},False,False,44.39582,9.00945,44.32887,9.31657,"[{'lat': 44.3771, 'lon': 9.14262, 'type': 'D', 'radius': 10}, {'lat': 44.36017, 'lon': 9.2043, 'type': 'D', 'radius': 6}, {'lat': 44.3297, 'lon': 9.31354, 'type': 'D', 'radius': 8}]",[],,,roadworks
20260522_T02_SIV_E_00245_00001,IT402,6,2,6,20260522_T02_E_00035,T,E,6,0,P,1779444382000,5,5,A04,A04,A4 MILANO-BRESCIA️,TORINO-TRIESTE,A4 Torino-Trieste,Trieste,TBU,LS4,Trieste,3732,279,Milano Est,3697,794,Pero,138.3,125.0,13.3,15.9,4.6,56.0,3,3,V,Code a tratti,alternate queue,Traffico Intenso,intense traffic,Code a tratti tra Nodo di Pero e Milano est per traffico intenso,alternate queue  between Junction for Pero and Milano Est  due to intense traffic,Trieste,41,44,45.55605,9.26843,{},False,False,45.51417,9.0884,45.55605,9.26843,"[{'lat': 45.51519, 'lon': 9.11237, 'type': 'D', 'radius': 10}, {'lat': 45.5152, 'lon': 9.11237, 'type': 'D', 'radius': 10}, {'lat': 45.51527, 'lon': 9.11412, 'type': 'D', 'radius': 10}, {'lat': 45.53642, 'lon': 9.16323, 'type': 'D', 'radius': 30}, {'lat': 45.55217, 'lon': 9.24309, 'type': 'D', 'radius': 10}, {'lat': 45.55545, 'lon': 9.26481, 'type': 'D', 'radius': 10}]",[],,,queue
20260522_T02_SIV_E_00607_00001,IT402,6,2,1,20260520_T02_E_00017,T,E,6,0,N,1779444210000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,LS2,RWK,Milano,3533,266,Basso Lodigiano,24846,2499,Piacenza,54.0,58.0,4.0,9.0,3.3,54.0,3,8,V,Coda,Queue,Lavori,Roadworks,Coda tra Bivio A1/Fine Complanare Piacenza e Basso Lodigiano per lavori,Queue  between Junction A1/Fine Complanare Piacenza and Piacenza Nord  due to roadworks,Milano,41,20,45.10555,9.69253,{},False,False,45.05203,9.74768,45.10555,9.69253,"[{'lat': 45.06077, 'lon': 9.73941, 'type': 'S', 'radius': 10}, {'lat': 45.10609, 'lon': 9.69219, 'type': 'S', 'radius': 13}]",[],,,roadworks
IT435_2_340_22_05_2026_10_12_42_340,IT435,30,1,6,22_05_2026_10_12_42_340,X,E,6,0,P,1779442380000,18,18,TR1,TMB,TR1 TRAFORO DEL MONTE BIANCO,TRAFORO DEL MONTE BIANCO,Traforo del Monte Bianco,Courmayeur,LS2,,Courmayeur,1250,174,Traforo del Monte Bianco,0,0,,0.1,0.0,0.0,0.0,0.0,0.0,1,1,V,Coda,Queue,,,Coda in corrispondenza Piazzale Francese verso Courmayeur Attesa prevista 15 minuti.,Queue  Piazzale Francese  towards Courmayeur Attended previewed 15 minuti.,Courmayeur,41,0,45.84647,6.92132,{},False,False,45.84647,6.92132,0.0,0.0,"[{'lat': 45.90128, 'lon': 6.86082, 'type': 'D', 'radius': 10}]",[],,,queue
20260522_T07_SIV_E_00351_00001,IT407,6,7,1,20260504_T07_E_00152,T,E,6,1,N,1779442119000,10,10,A14,A14,A14 BOLOGNA-TARANTO,BOLOGNA-TARANTO,A14 Bologna-Taranto,Ancona,LS2,RWK,Ancona,3895,645,Atri Pineto,3894,650,Pescara Nord-Città Sant'Angelo,355.0,361.0,6.0,18.2,9.2,42.0,13,13,V,Coda,Queue,Lavori,Roadworks,Coda di 1 km tra Pescara Nord e Pineto per lavori,Queue  between Pescara Nord and Pineto  due to roadworks,Autostrada Milano-Napoli,41,20,42.6067,14.04697,{},False,False,42.5216,14.13395,42.6067,14.04697,"[{'lat': 42.60593, 'lon': 14.05045, 'type': 'S', 'radius': 6}]",[],,,roadworks
20260522_T01_SIV_E_00322_00001,IT401,6,1,1,20260522_T01_E_00109,T,E,6,0,N,1779441864000,39,39,A10,A10,A10 GENOVA-SAVONA,GENOVA-VENTIMIGLIA,A10 Genova-Savona-Ventimiglia,Genova,LS2,LS4,Genova,116,465,Genova,125,469,Genova Aeroporto,0.0,2.3,2.3,0.0,0.0,0.0,7,7,V,Coda,Queue,Traffico Intenso,intense traffic,Coda tra Genova Aeroporto e Bivio A10/A7 Milano-Genova per traffico intenso,Queue  between Genova Aeroporto and Junction A10/A7 Milano-Genova  due to intense traffic,Genova,41,44,44.42418,8.8927,{},False,False,44.42399,8.86928,44.42418,8.8927,"[{'lat': 44.42318, 'lon': 8.89387, 'type': 'S', 'radius': 6}]",[],,,queue
20260522_T07_SIV_E_00237_00001,IT407,6,7,3,20260504_T07_E_00186,T,E,6,1,P,1779440924000,10,10,A14,A14,A14 BOLOGNA-TARANTO,BOLOGNA-TARANTO,A14 Bologna-Taranto,Taranto,LS2,RWK,Taranto,11179,2115,Grottammare,3886,638,Pedaso,290.7,288.0,2.7,13.6,3.1,61.0,11,11,V,Coda,Queue,Lavori,Roadworks,Coda di 1 km tra Pedaso e Grottammare per lavori,Queue  between Pedaso and Grottammare  due to roadworks,Taranto,41,20,42.98072,13.86252,{},False,False,43.09803,13.83512,42.98072,13.86252,"[{'lat': 42.98191, 'lon': 13.8621, 'type': 'D', 'radius': 8}]",[],,,roadworks
20260522_T02_SIV_E_00526_00001,IT402,6,2,1,20260522_T02_E_00092,T,E,6,0,P,1779440048000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Napoli,TBU,LS4,Napoli,455881,72073,Allacciamento A1/A15,3533,266,Basso Lodigiano,101.693,49.7,51.993,79.5,44.8,39.0,8,3,V,Code a tratti,alternate queue,Traffico Intenso,intense traffic,Code a tratti tra Basso Lodigiano e Bivio A1/A15 Parma-La Spezia per traffico intenso,alternate queue  between Piacenza Nord and Junction Bivio A1/A15 due to intense traffic,Napoli,41,44,44.86488,10.23445,{},False,False,45.10555,9.69253,44.86488,10.23445,"[{'lat': 45.06646, 'lon': 9.73347, 'type': 'D', 'radius': 10}, {'lat': 45.0427, 'lon': 9.75672, 'type': 'D', 'radius': 10}, {'lat': 44.96055, 'lon': 9.90807, 'type': 'D', 'radius': 92}, {'lat': 44.95888, 'lon': 9.91282, 'type': 'D', 'radius': 56}, {'lat': 44.88821, 'lon': 10.09259, 'type': 'D', 'radius': 61}, {'lat': 44.86504, 'lon': 10.22985, 'type': 'D', 'radius': 100}]",[],,,queue
